Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
296,Hanul-3,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,1993-07-21,1998-08-11,,997.0,2021-04-19,IAEA,398.0
297,Hanul-4,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,1993-11-01,1999-12-31,,999.0,2021-04-19,IAEA,399.0
298,Hanul-5,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,1999-10-01,2004-07-29,,998.0,2021-04-19,IAEA,404.0
299,Hanul-6,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,2000-09-29,2005-04-22,,997.0,2021-04-19,IAEA,406.0
300,Hartlepool-A1,54.634,-1.18,United Kingdom,GB,Operational,GCR,AGR,1968-10-01,1989-04-01,,590.0,2021-04-19,WNA/IAEA,250.0
301,Hartlepool-A2,54.634,-1.18,United Kingdom,GB,Operational,GCR,AGR,1968-10-01,1989-04-01,,595.0,2021-04-19,WNA/IAEA,251.0
302,Hatch-1,31.935,-82.346,United States,US,Operational,BWR,BWR-4 (Mark 1),1968-09-30,1975-12-31,,777.0,2015-05-24,WNA/IAEA,658.0
303,Hatch-2,31.935,-82.346,United States,US,Operational,BWR,BWR-4 (Mark 1),1972-02-01,1979-09-05,,784.0,2015-05-24,WNA/IAEA,687.0
304,Heysham-A1,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,1970-12-01,1989-04-01,,611.0,2015-05-24,WNA/IAEA,256.0
305,Heysham-A2,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,1970-12-01,1989-04-01,,611.0,2015-05-24,WNA/IAEA,257.0
306,Heysham-B1,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,1980-08-01,1989-04-01,,615.0,2015-05-24,WNA/IAEA,259.0
307,Heysham-B2,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,1980-08-01,1989-04-01,,615.0,2015-05-24,WNA/IAEA,260.0
308,Higashi Dori-1 (Tohoku),41.188,141.393,Japan,JP,Operational,BWR,BWR-5,2000-11-07,2005-12-08,,1067.0,2021-06-07,WNA/IAEA,841.0
309,Higashi Dori-1 (Tokyo),41.1856,141.388,Japan,JP,Planned,ABWR,,,,,,,WNA,
310,Higashi Dori-2 (Tohoku),41.1856,141.39,Japan,JP,Planned,ABWR,,,,,,,WNA,
311,Higashi Dori-2 (Tokyo),41.1856,141.389,Japan,JP,Planned,ABWR,,,,,,,WNA,
312,Hinkley Point-A1,51.209,-3.131,United Kingdom,GB,Shutdown,GCR,MAGNOX,1957-11-01,1965-03-30,2000-05-23,250.0,2015-05-24,WNA/IAEA,271.0
313,Hinkley Point-A2,51.209,-3.131,United Kingdom,GB,Shutdown,GCR,MAGNOX,1957-11-01,1965-05-05,2000-05-23,250.0,2015-05-24,WNA/IAEA,272.0
314,Hinkley Point-B1,51.209,-3.131,United Kingdom,GB,Operational,GCR,AGR,1967-09-01,1978-10-02,,625.0,2015-05-24,WNA/IAEA,244.0
315,Hinkley Point-B2,51.209,-3.131,United Kingdom,GB,Operational,GCR,AGR,1967-09-01,1976-09-27,,625.0,2015-05-24,WNA/IAEA,245.0
316,Hinkley Point-C1,51.2087,-3.1305,United Kingdom,GB,Under Construction,PWR,EPR-1750,2018-12-11,,,1630.0,2019-06-02,WNA/IAEA,1072.0
317,Hinkley Point-C2,51.2087,-3.1305,United Kingdom,GB,Under Construction,PWR,EPR-1750,2019-12-12,,,1630.0,2020-04-18,WNA/IAEA,1073.0
318,Hongshiding-1 (Rushan-1),,,China,CN,Planned,PWR,,,,,,,WNA,
319,Hongshiding-2 (Rushan-2),,,China,CN,Planned,PWR,,,,,,,WNA,
320,Hongyanhe-1,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,2007-08-18,2013-06-06,,1061.0,2015-08-23,WNA/IAEA/GEO,904.0
321,Hongyanhe-2,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,2008-03-28,2014-05-13,,1061.0,2015-08-23,WNA/IAEA/GEO,905.0
322,Hongyanhe-3,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,2009-03-07,2015-08-16,,1061.0,2017-09-25,WNA/IAEA/GEO,906.0
323,Hongyanhe-4,39.797,121.4765,China,CN,Operational,PWR,CPR-1000,2009-08-15,2016-06-08,,1061.0,2019-06-02,WNA/IAEA/GEO,907.0
324,Hongyanhe-5,39.797,121.4831,China,CN,Under Construction,PWR,ACPR-1000,2015-03-29,,,1061.0,2017-09-25,WNA/IAEA/GEO,997.0
325,Hongyanhe-6,39.797,121.4831,China,CN,Under Construction,PWR,ACPR-1000,2015-07-24,,,1061.0,2017-09-25,WNA/IAEA/GEO,998.0
326,Hope Creek-1,39.467,-75.535,United States,US,Operational,BWR,BWR-4 (Mark 1),1976-03-01,1986-12-20,,1067.0,2015-05-24,WNA/IAEA,680.0
327,Humboldt Bay,40.741,-124.21,United States,US,Shutdown,BWR,Natural cir.,1960-11-01,1963-08-01,1976-07-02,65.0,2015-05-24,WNA/IAEA,599.0
328,Hunterston-A1,55.722,-4.893,United Kingdom,GB,Shutdown,GCR,MAGNOX,1957-10-01,1964-02-05,1990-03-30,150.0,2015-05-24,WNA/IAEA,269.0
329,Hunterston-A2,55.722,-4.893,United Kingdom,GB,Shutdown,GCR,MAGNOX,1957-10-01,1964-07-01,1989-12-31,150.0,2015-05-24,WNA/IAEA,270.0
330,Hunterston-B1,55.722,-4.893,United Kingdom,GB,Operational,GCR,AGR,1967-11-01,1976-02-06,,624.0,2015-05-24,WNA/IAEA,246.0
331,Hunterston-B2,55.722,-4.893,United Kingdom,GB,Operational,GCR,AGR,1967-11-01,1977-03-31,,624.0,2015-05-24,WNA/IAEA,247.0
332,Ignalina-1,55.604,26.562,Lithuania,LT,Shutdown,LWGR,RBMK-1500,1977-05-01,1985-05-01,2004-12-31,1185.0,2021-02-14,WNA/IAEA,415.0
333,Ignalina-2,55.604,26.562,Lithuania,LT,Shutdown,LWGR,RBMK-1500,1978-01-01,1987-12-01,2009-12-31,1185.0,2021-02-14,WNA/IAEA,416.0
334,Ignalina-3,55.604,26.562,Lithuania,LT,Cancelled Construction,LWGR,RBMK-1500,1985-06-01,,,1380.0,2021-02-13,WNA/IAEA,
335,Ikata-1,33.491,132.309,Japan,JP,Shutdown,PWR,M (2-loop),1973-09-01,1977-09-30,2016-05-10,538.0,2017-02-10,WNA/IAEA,348.0
336,Ikata-2,33.491,132.309,Japan,JP,Shutdown,PWR,M (2-loop),1978-08-01,1982-03-19,2018-05-23,538.0,2019-06-02,WNA/IAEA,358.0
337,Ikata-3,33.491,132.309,Japan,JP,Operational,PWR,M (3-loop),1990-10-01,1994-12-15,,846.0,2015-05-24,WNA/IAEA,374.0
338,Indian Point-1,41.27,-73.95,United States,US,Shutdown,PWR,PWR,1956-05-01,1962-10-01,1974-10-31,265.0,2015-05-24,WNA/IAEA,643.0
339,Indian Point-2,41.27,-73.95,United States,US,Shutdown,PWR,WH 4LP (DRYAMB),1966-10-14,1974-08-01,2020-04-30,873.0,2020-06-05,WNA/IAEA,611.0
340,Indian Point-3,41.27,-73.95,United States,US,Shutdown,PWR,WH 4LP (DRYAMB),1968-11-01,1976-08-30,2021-04-30,965.0,2021-05-30,WNA/IAEA,635.0
