osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw,plant_type,4c_offshore_id,windpowernet_id,wikidata_id,wikipedia_id,power_technology_id,hub_height
10204,GNFSW1,GBR0002490,Gunfleet Sands Windfarm  1,"E_GNFSW-1, T_GNFSW-1",1.174444,51.739444,wind,108.0,offshore,,,,,,80.0
10205,GNFSW2,GBR0002489,Gunfleet Sands Windfarm  2,"E_GNFSW-2, T_GNFSW-2",1.174444,51.739444,wind,65.0,offshore,,,,,,80.0
10206,GYMRW,GBR0002543,Gwynt y Mor Offshore Wind Farm,"T_GYMRW-1, T_GYMRW-2",-3.584,53.459,wind,576.0,offshore,gwynt-y-môr-united-kingdom-uk09,windfarm_en_7389_gwynt-y-mor,Q455472,Gwynt_y_Mor,gwynt-y-mor-offshore-wind-farm-north-wales,98
10207,GYMR,,Gwynt y Mor Wind Farm East 1,"T_GYMR-15, T_GYMR-17, T_GYMR-26, T_GYMR-28",-3.944092,53.376775,wind,,offshore,,,,,,84.4
10208,HADHW,GBR0003109,Hadyard Hill Wind Farm,T_HADHW-1,-4.702148,55.247815,wind,119.6,onshore,,,,,,
10209,HBHDW,GBR0004225,Harburnhead Wind Farm,E_HBHDW-1,-3.547456,55.815259,wind,51.7,onshore,,,,,,
10210,HRHLW,,Hare Hill Extension Wind Farm,E_HRHLW-1,-4.054104,55.405691,wind,,onshore,,,,,,
10211,HRSTW,GBR0004119,Harestanes Windfarm,T_HRSTW-1,-3.636475,55.229023,wind,136.0,onshore,,,,,,
10212,HLGLW,,Hill of Glaschyle Windfarm,E_HLGLW-1,-3.615587,57.51051999999999,wind,,onshore,,,,,,
10213,HLTWW,GBR0004014,Hill of Towie Windfarm ,E_HLTWW-1,-2.406006,57.486309,wind,48.3,onshore,,,,,,
10214,HMGTO,GBR0002544,Humber Offshore Wind Farm,"T_HMGTO-1, T_HMGTO-2",0.293,53.644,wind,219.0,offshore,humber-gateway-united-kingdom-uk10,windfarm_en_12070_humber-gateway,Q15226770,Humber_Gateway_Wind_Farm,humber-gateway-offshore-wind-farm,80
10215,HYWDW,,Hywind Generator 1,E_HYWDW-1,-1.35,57.483,wind,,offshore,hywind-scotland-pilot-park-united-kingdom-uk76,windfarm_en_16758_hywind-scotland-pilot-park,Q6989526,Hywind_Scotland,hywind-pilot-park-aberdeenshire,101
10216,KTHLW,,Keith Hill Windfarm,T_KTHLW-1,-2.825456,55.817272,wind,,onshore,,,,,,
10217,KILBW,GBR0003202,Kilbraur Windfarm,T_KILBW-1,-4.0564,58.0395,wind,47.5,onshore,,,,,,
10218,KLGLW,,Kilgallioch Wind Farm,T_KLGLW-1,-4.765280000000001,55.05,wind,,onshore,,,,,,
10219,LNCSW,GBR0002513,Lincs Offshore Wind Farm,"T_LNCSW-1, T_LNCSW-2, T_LNCSW-3",0.5273439999999999,53.265213,wind,270.0,offshore,lincs-united-kingdom-uk13,windfarm_en_10526_lincs,Q6551320,Lincs_Wind_Farm,centricalincs,100
10220,LCLTW,GBR0004123,Lochluichart Windfarm,T_LCLTW-1,-4.559326,57.73935,wind,69.0,onshore,,,,,,
10221,LARYW,GBR0002511,London Array Windfarm,"T_LARYW-1, T_LARYW-2, T_LARYW-3, T_LARYW-4",1.362305,51.645294,wind,630.0,offshore,london-array-united-kingdom-uk14,windfarm_en_1574_london-array,Q914264,London_Array,london-array,87
10222,MKHLW,GBR0003260,Mark Hill Windfarm,T_MKHLW-1,-4.822998,55.160043,wind,56.0,onshore,,,,,,
10223,PSTAT002,GBR0004667,Mid Hill Windfarm,2__PSTAT002,-2.482026,56.964685,wind,57.5,onshore,,,,,,
10224,MILWW,GBR0004682,Millennium Wind Farm,T_MILWW-1,-4.866943,57.219608,wind,40.0,onshore,,,,,,
10225,MYGPW,,Minnygap Wind Farm,T_MYGPW-1,-3.5148019999999995,55.248768000000005,wind,,onshore,,,,,,
10226,MINSW,GBR0004517,Minsca Wind Farm,E_MINSW-1,-3.47168,55.040614,wind,36.8,onshore,,,,,,
10227,MOYE,,Moy Windfarm,E_MOYE-1,-4.064872,57.390303,wind,,onshore,,,,,,
10228,MOYEW,GBR0003647,Moy Windfarm,E_MOYEW-1,-4.052356,57.39099399999999,wind,60.0,onshore,,,,,,
10229,OMNDW,GBR0002509,Ormonde Windfarm,"E_OMNDW-1, T_OMNDW-1",-3.4,54.1,wind,150.0,offshore,ormonde-united-kingdom-uk17,windfarm_en_1629_ormonde,Q763941,Ormonde_Wind_Farm,ormonde-offshore-wind-farm,100
10230,OMNDD,,Ormonde Windfarm Demand,E_OMNDD-1,-3.4,54.1,wind,,offshore,,,,,,100.0
10231,PPGEN002,GBR0004687,Pauls Hill Windfarm,2__PPGEN002,-3.458196,57.451933,wind,64.0,onshore,,,,,,
10232,PNYCW,GBR0004595,Pen y Cymoedd Wind Farm,T_PNYCW-1,-3.561358,51.710658,wind,228.0,onshore,,,,,,
10233,RCBKO,GBR0002515,Race Bank Offshore Wind Farm,"T_RCBKO-1, T_RCBKO-2",0.841,53.276,wind,286.5,offshore,"race-bank-united-kingdom-uk18, race-bank-extension-united-kingdom-uk4f","windfarm_en_12071_race-bank, windfarm_en_30016_race-bank-extension",Q3364824,Race_Bank_wind_farm,race-bank-wind-farm,90.0
10234,RMPNO,,Rampion Offshore Windfarm,"T_RMPNO-1, T_RMPNO-2",-0.27,50.67,wind,,offshore,rampion-united-kingdom-uk36,windfarm_en_16761_rampion,Q7290043,Rampion_Wind_Farm,rampion-offshore-wind-project-english-channel,80.0
10235,RREW,GBR0002496,Robin Rigg East,T_RREW-1,-3.716667,54.75,wind,90.0,offshore,robin-rigg-united-kingdom-uk20,windfarm_en_7392_robin-rigg,Q1724197,Robin_Rigg_Wind_Farm,robinriggwind,80.0
