account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
100219,2001,179,143,165,148,1466,3992,3973,3351,5184,1079,2822,213,10,370,68,
100220,1713,125,246,285,300,0,628,355,2283,2079,1875,1113,309,3,34,89,
100221,0,0,0,,,,,,,,,,,,,,
100222,260,394,987,213,282,505,547,57,193,853,1270,1505,107,34,41,133,
100223,891,1,0,0,0,0,0,0,216,757,259,79,194,99,75,294,
100224,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100225,457148,787407,924188,665146,733466,782755,591893,342970,375954,338553,352564,401488,327285,624945,415897,300596,
100226,874507,1327656,1256356,1045679,1174718,1336821,974306,886959,1087164,922723,724592,839060,487632,731146,510323,376167,
100227,251,275,332,42,423,1465,558,589,260,391,67,262,299,28,8,37,
100228,38401,43335,44031,42350,35802,36745,28173,38743,31457,31241,30157,32904,30856,26883,19680,12057,
100229,9,9,11,8,9,13,11,11,16,6,18,34,22,30,28,11,
100230,2,0,2,0,1,16,15,6,3,5,6,6,5,4,4,5,
100231,62,106,84,6,104,364,166,231,111,93,88,263,58,30,61,5,
100232,0,1,1,0,0,0,0,0,0,0,3,16,1,24,0,0,
100233,812,3010,6538,4108,10838,7399,4714,7456,6515,5513,2214,6323,4305,5255,1523,2086,
100234,0,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100235,295,553,947,504,115,355,237,9,12,25,75,112,25,25,73,37,
100236,0,0,0,0,0,22,3,0,9,4,0,0,0,1,0,0,
100237,3442,5159,10522,7486,9848,8464,3991,11315,6694,4366,3315,4629,6404,3351,3051,470,
100238,0,101,1061,0,1,0,0,0,39,0,0,0,0,0,0,0,
100239,0,101,90,39,0,0,1,5,5,11,0,0,,,,,
100240,0,1,35,24,10,0,0,0,8,1,1,2,1,0,0,1,
100241,0,0,0,0,4,0,,,,,,,,,,,
100242,0,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100243,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,
100244,5,0,9,0,0,4,8,0,0,0,1,2,0,0,1,0,
100245,333,756,588,190,0,21,12,0,0,12,0,2,7,15,3,5,
100246,13011,12391,11579,6372,6400,8312,6325,7798,5818,3566,1164,1361,1103,1318,1282,555,
100247,0,13,99,,Not Reported,Not Reported,,,,,,,,,,,
100248,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0,
100249,2731,541,658,833,603,351,657,595,205,177,1457,824,1043,2499,904,526,
100250,5872,5992,7232,6952,3126,5448,6052,4766,4420,4173,4195,4774,4423,4534,5528,5406,
100251,10637,10040,10629,9777,6860,6952,6778,6466,4302,3915,,,,,,,
100252,2109,1794,1687,1113,1408,1959,770,761,0,,,,,,,,
100253,130,105,59,5,178,360,136,149,36,7,69,49,45,99,105,27,
100254,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,
100255,37820,41393,43474,44775,42953,48776,46196,43895,31379,38422,42604,44275,37869,38013,34966,25424,
100256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
