ngc_bmu_id,year,capture_price
CRYRW-2,2019,39.75055021129529
CRYRW-2,2020,31.33085986541576
DALSW-1,2016,36.224430380707226
DALSW-1,2017,42.991875505886426
DALSW-1,2018,57.16945192155623
DALSW-1,2019,39.53782880094028
DALSW-1,2020,31.25827869333016
DAMC-1,2016,39.90617608759672
DAMC-1,2017,46.863008387166424
DAMC-1,2018,57.22381478605381
DAMC-1,2019,46.76050811046949
DAMC-1,2020,43.70272306557826
DDGNO-1,2018,59.15556963935024
DDGNO-1,2019,39.8201294412766
DDGNO-1,2020,31.493706330276385
DDGNO-2,2018,59.102294593300066
DDGNO-2,2019,40.2791063926127
DDGNO-2,2020,31.247017627906576
DDGNO-3,2018,59.12280781065232
DDGNO-3,2019,39.83894113953002
DDGNO-3,2020,31.470680232280074
DDGNO-4,2018,59.11991079979979
DDGNO-4,2019,40.23538640952117
DDGNO-4,2020,31.635143557921044
DEEP-1,2016,51.651375802133465
DEEP-1,2017,56.07924188786419
DEEP-1,2018,60.848141487139955
DIDC01G,2016,56.46251501228418
DIDC01G,2017,98.85782661423376
DIDC01G,2018,102.69588604259596
DIDC01G,2019,71.0360732925923
DIDC01G,2020,66.35072335990921
DIDC02G,2016,71.31960705260431
DIDC02G,2017,91.03809819830062
DIDC02G,2018,103.00572695053674
DIDC02G,2019,70.7254271159117
DIDC02G,2020,71.8094585057952
DIDC03G,2016,72.22960697649536
DIDC03G,2017,100.6834662225659
DIDC03G,2018,102.711004279722
DIDC03G,2019,71.19369727262526
DIDC03G,2020,67.77303144250712
DIDC04G,2016,72.15675794721018
DIDC04G,2017,103.88853893222993
DIDC04G,2018,102.30378259196644
DIDC04G,2019,70.56121424598251
DIDC04G,2020,66.3219408773947
DIDCB5,2016,41.980511794096245
DIDCB5,2017,47.52074035083371
DIDCB5,2018,60.273718889936134
DIDCB5,2019,44.49691930183904
DIDCB5,2020,41.095908763075435
DIDCB6,2016,41.92694459359746
DIDCB6,2017,47.938045154681
DIDCB6,2018,60.9969754644655
DIDCB6,2019,46.137609480559455
DIDCB6,2020,41.88354382069592
DINO-1,2016,53.40799334841282
DINO-1,2017,51.39189435784849
DINO-1,2018,61.82169578784063
DINO-1,2019,54.4371578425786
DINO-1,2020,40.07978340671965
DINO-2,2016,45.19736288386099
DINO-2,2017,49.82835868077527
DINO-2,2018,68.73597766357054
DINO-2,2019,53.656949247648754
DINO-2,2020,51.85093904914522
DINO-3,2016,63.74358233635565
DINO-3,2017,60.95014714087908
DINO-3,2018,65.48753476986748
DINO-3,2019,56.59785280189972
DINO-3,2020,53.59133794965478
DINO-4,2016,41.4349935571315
DINO-4,2017,48.91257849992734
DINO-4,2018,64.7563551824717
DINO-4,2019,51.147691718218745
DINO-4,2020,55.50037633853006
DINO-5,2016,56.77695596471837
DINO-5,2017,49.26946939630232
DINO-5,2018,61.96538198497186
DINO-5,2019,54.765503752892734
DINO-5,2020,37.915733663681536
DINO-6,2016,43.31376689698623
DINO-6,2017,50.19432681380412
DINO-6,2018,63.100188405410876
DINO-6,2019,51.09389630708086
DINO-6,2020,56.626041114668176
DNGB21,2016,39.18981757385863
DNGB21,2017,46.249526680904275
DNGB21,2018,55.56120535861411
DNGB22,2016,39.22125977212994
DNGB22,2017,43.53391759429587
DNGB22,2018,54.105977125106854
DRAXX-1,2016,38.237002082527965
DRAXX-1,2017,44.733459641612136
DRAXX-1,2018,57.117120268113034
DRAXX-1,2019,41.89812739113798
DRAXX-1,2020,34.39833107693613
DRAXX-10G,2016,30.701690391459067
DRAXX-10G,2017,41.32975357216816
DRAXX-10G,2018,151.89590063259942
DRAXX-10G,2019,70.80701027006465
DRAXX-10G,2020,152.91499268898968
DRAXX-12G,2016,37.350208333333335
DRAXX-12G,2017,38.363903995288105
DRAXX-12G,2018,147.49038992105895
DRAXX-12G,2019,62.47283663920544
DRAXX-12G,2020,112.5339586830502
DRAXX-2,2016,38.40252574552469
DRAXX-2,2017,45.72632592274784
DRAXX-2,2018,58.01176539842334
DRAXX-2,2019,43.83756300503172
DRAXX-2,2020,37.096452097235776
DRAXX-3,2016,38.07603207323
DRAXX-3,2017,45.24692150958413
DRAXX-3,2018,57.627769536080116
DRAXX-3,2019,42.113925849707904
DRAXX-3,2020,34.46990444020173
DRAXX-4,2016,42.3384013349837
DRAXX-4,2017,49.8317073920643
DRAXX-4,2018,60.853024052966255
DRAXX-4,2019,42.056472556392656
DRAXX-4,2020,36.38332361573421
DRAXX-5,2016,46.292908147928294
DRAXX-5,2017,48.69041712559118
DRAXX-5,2018,63.24184689241845
DRAXX-5,2019,55.15804029697178
DRAXX-5,2020,37.69713801750123
DRAXX-6,2016,44.779710992947656
DRAXX-6,2017,50.99579671774685
DRAXX-6,2018,61.926772776018
DRAXX-6,2019,58.25390383773974
DRAXX-6,2020,46.34732966876417
DRAXX-9G,2016,42.06126823631374
DRAXX-9G,2017,40.23748567335243
DRAXX-9G,2018,151.9973461588289
DRAXX-9G,2019,65.30205267938238
DRAXX-9G,2020,27.312009377093094
DRSLW-1,2019,40.81735694313733
DRSLW-1,2020,33.17936214873249
