ngc_bmu_id,year,output_MWh
COTPS-2,2017,1049205.651
COTPS-2,2018,860044.0
COTPS-2,2019,620486.222
COTPS-2,2020,0.0
COTPS-3,2016,557408.087
COTPS-3,2017,782286.294
COTPS-3,2018,656608.252
COTPS-3,2019,378151.597
COTPS-3,2020,0.0
COTPS-4,2016,193660.58
COTPS-4,2017,596559.601
COTPS-4,2018,569976.727
COTPS-4,2019,201143.125
COTPS-4,2020,0.0
COUWW-1,2016,0.0
COUWW-1,2017,0.0
COUWW-1,2018,0.0
COUWW-1,2019,55672.385
COUWW-1,2020,68404.232
COWE1,2016,2762.626
COWE1,2017,2204.287
COWE1,2018,1827.448
COWE1,2019,262.11899999999997
COWE1,2020,282.781
COWE2,2016,2678.788
COWE2,2017,2194.659
COWE2,2018,1841.93
COWE2,2019,324.323
COWE2,2020,300.396
CRGHW-1,2016,116447.121
CRGHW-1,2017,131673.572
CRGHW-1,2018,130380.362
CRGHW-1,2019,127885.92
CRGHW-1,2020,134180.472
CRMLW-1,2016,0.0
CRMLW-1,2017,0.0
CRMLW-1,2018,0.0
CRMLW-1,2019,83913.998
CRMLW-1,2020,89111.185
CRUA-1,2016,94772.2
CRUA-1,2017,95151.14
CRUA-1,2018,114202.2
CRUA-1,2019,94098.06
CRUA-1,2020,114757.34
CRUA-2,2016,129230.96
CRUA-2,2017,96342.94
CRUA-2,2018,74677.38
CRUA-2,2019,73404.096
CRUA-2,2020,89555.32
CRUA-3,2016,22636.54
CRUA-3,2017,30147.4
CRUA-3,2018,9183.86
CRUA-3,2019,25189.476
CRUA-3,2020,21139.44
CRUA-4,2016,24691.62
CRUA-4,2017,34270.94
CRUA-4,2018,33938.5
CRUA-4,2019,44980.04
CRUA-4,2020,45380.08
CRYRW-2,2016,308673.023
CRYRW-2,2017,380460.761
CRYRW-2,2018,333805.701
CRYRW-2,2019,299792.316
CRYRW-2,2020,367136.53
DALSW-1,2016,53996.998
DALSW-1,2017,58985.623
DALSW-1,2018,56702.332
DALSW-1,2019,57418.796
DALSW-1,2020,55791.399
DAMC-1,2016,4978154.97
DAMC-1,2017,3934558.935
DAMC-1,2018,3935109.33
DAMC-1,2019,2024271.27
DAMC-1,2020,1430692.065
DDGNO-1,2016,0.0
DDGNO-1,2017,0.0
DDGNO-1,2018,176743.814
DDGNO-1,2019,416007.831
DDGNO-1,2020,446123.36
DDGNO-2,2016,0.0
DDGNO-2,2017,0.0
DDGNO-2,2018,172032.94
DDGNO-2,2019,366762.437
DDGNO-2,2020,398511.701
DDGNO-3,2016,0.0
DDGNO-3,2017,0.0
DDGNO-3,2018,182301.184
DDGNO-3,2019,398173.586
DDGNO-3,2020,435760.642
DDGNO-4,2016,0.0
DDGNO-4,2017,0.0
DDGNO-4,2018,185793.673
DDGNO-4,2019,417384.721
DDGNO-4,2020,442121.228
DEEP-1,2016,600735.44
DEEP-1,2017,698242.08
DEEP-1,2018,352730.22
DEEP-1,2019,0.0
DEEP-1,2020,0.0
DIDC01G,2016,805.5070000000001
DIDC01G,2017,587.926
DIDC01G,2018,1303.645
DIDC01G,2019,1453.08
DIDC01G,2020,806.998
DIDC02G,2016,895.896
DIDC02G,2017,703.78
DIDC02G,2018,1265.485
DIDC02G,2019,1499.909
DIDC02G,2020,624.051
DIDC03G,2016,906.587
DIDC03G,2017,576.746
DIDC03G,2018,1292.1399999999999
DIDC03G,2019,1336.45
DIDC03G,2020,773.348
DIDC04G,2016,904.72
DIDC04G,2017,542.083
DIDC04G,2018,1286.475
DIDC04G,2019,1440.013
DIDC04G,2020,803.657
DIDCB5,2016,3740564.95
DIDCB5,2017,3708766.45
DIDCB5,2018,3323661.45
DIDCB5,2019,4285470.6
DIDCB5,2020,2676611.45
DIDCB6,2016,2394716.1
DIDCB6,2017,2757882.4
DIDCB6,2018,2702690.75
DIDCB6,2019,2092243.4
DIDCB6,2020,1968618.25
DINO-1,2016,240348.65
DINO-1,2017,485190.8
DINO-1,2018,405522.8
DINO-1,2019,212005.0
DINO-1,2020,121686.8
DINO-2,2016,592652.7
DINO-2,2017,530622.25
DINO-2,2018,189587.15
DINO-2,2019,188784.5
DINO-2,2020,163706.95
DINO-3,2016,234400.1
DINO-3,2017,271695.4
DINO-3,2018,365114.35
DINO-3,2019,129424.9
DINO-3,2020,224881.1
DINO-4,2016,255204.65
DINO-4,2017,167219.9
DINO-4,2018,108852.5
DINO-4,2019,141173.05
DINO-4,2020,203468.85
DINO-5,2016,191703.1
DINO-5,2017,468465.45
DINO-5,2018,355582.85
DINO-5,2019,220690.9
DINO-5,2020,80617.75
DINO-6,2016,781370.85
DINO-6,2017,224121.5
DINO-6,2018,439323.05
DINO-6,2019,375407.4
DINO-6,2020,220470.75
DNGB21,2016,4028569.619
DNGB21,2017,2452885.246
DNGB21,2018,2791474.557
DNGB21,2019,0.0
DNGB21,2020,0.0
DNGB22,2016,3816796.167
DNGB22,2017,3446814.022
DNGB22,2018,2717332.649
DNGB22,2019,0.0
DNGB22,2020,0.0
DRAXX-1,2016,5014662.678
DRAXX-1,2017,4036655.434
DRAXX-1,2018,5272782.114
DRAXX-1,2019,4759282.278
DRAXX-1,2020,5016991.292
DRAXX-10G,2016,42.712
DRAXX-10G,2017,135.212
DRAXX-10G,2018,194.752
DRAXX-10G,2019,178.772
DRAXX-10G,2020,218.848
DRAXX-12G,2016,23.04
DRAXX-12G,2017,81.496
DRAXX-12G,2018,200.656
DRAXX-12G,2019,139.348
DRAXX-12G,2020,242.96
DRAXX-2,2016,4591242.682
DRAXX-2,2017,4165307.984
DRAXX-2,2018,3775143.036
DRAXX-2,2019,2833499.662
DRAXX-2,2020,3925674.326
DRAXX-3,2016,3270868.966
DRAXX-3,2017,4754720.16
DRAXX-3,2018,3765275.156
DRAXX-3,2019,3585051.5979999998
DRAXX-3,2020,2675650.946
DRAXX-4,2016,2832039.082
DRAXX-4,2017,2515965.612
DRAXX-4,2018,1827026.434
DRAXX-4,2019,2607930.56
DRAXX-4,2020,2844261.942
DRAXX-5,2016,2138424.28
DRAXX-5,2017,3020489.48
DRAXX-5,2018,1671123.542
DRAXX-5,2019,416402.33
DRAXX-5,2020,838405.282
DRAXX-6,2016,2088242.122
DRAXX-6,2017,1814090.702
DRAXX-6,2018,1979873.838
DRAXX-6,2019,297244.178
DRAXX-6,2020,839832.468
DRAXX-9G,2016,27.692
DRAXX-9G,2017,134.016
DRAXX-9G,2018,123.504
DRAXX-9G,2019,44.04
DRAXX-9G,2020,59.72
DRSLW-1,2016,0.0
DRSLW-1,2017,0.0
DRSLW-1,2018,0.0
DRSLW-1,2019,136003.313
DRSLW-1,2020,132095.159
DUNGW-1,2016,0.0
DUNGW-1,2017,0.0
DUNGW-1,2018,0.0
DUNGW-1,2019,241480.018
DUNGW-1,2020,227680.27
EAAO-1,2016,0.0
EAAO-1,2017,0.0
EAAO-1,2018,0.0
EAAO-1,2019,185800.091
EAAO-1,2020,1252092.416
EAAO-2,2016,0.0
EAAO-2,2017,0.0
EAAO-2,2018,0.0
EAAO-2,2019,31.618
EAAO-2,2020,949133.391
EDINW-1,2016,85936.246
EDINW-1,2017,105169.709
EDINW-1,2018,90878.499
EDINW-1,2019,86014.815
EDINW-1,2020,88627.261
EECL-1,2016,1325784.157
EECL-1,2017,1078921.378
EECL-1,2018,1008157.279
EECL-1,2019,1643363.679
EECL-1,2020,546534.555
EGGPS-1,2016,436598.374
EGGPS-1,2017,62280.334
EGGPS-1,2018,30842.918
EGGPS-1,2019,0.0
EGGPS-1,2020,0.0
EGGPS-2,2016,267020.768
EGGPS-2,2017,25789.486
EGGPS-2,2018,17390.11
EGGPS-2,2019,0.0
EGGPS-2,2020,0.0
EGGPS-3,2016,586067.985
EGGPS-3,2017,452437.08
EGGPS-3,2018,260354.275
EGGPS-3,2019,0.0
EGGPS-3,2020,0.0
EGGPS-4,2016,953048.31
EGGPS-4,2017,488897.675
EGGPS-4,2018,230801.76
EGGPS-4,2019,0.0
EGGPS-4,2020,0.0
ERRO-1,2016,32304.973
ERRO-1,2017,41242.556
ERRO-1,2018,25336.805
ERRO-1,2019,32969.145
ERRO-1,2020,41495.308
ERRO-2,2016,19178.852
ERRO-2,2017,881.607
ERRO-2,2018,16830.545
ERRO-2,2019,28239.162
ERRO-2,2020,41134.971
ERRO-3,2016,41301.731
ERRO-3,2017,39118.145
ERRO-3,2018,27133.033
ERRO-3,2019,34927.631
ERRO-3,2020,38918.448
EWHLW-1,2016,0.0
EWHLW-1,2017,0.0
EWHLW-1,2018,0.0
EWHLW-1,2019,82048.669
EWHLW-1,2020,76159.853
FAARW-1,2016,100606.475
FAARW-1,2017,106058.36
FAARW-1,2018,91780.985
FAARW-1,2019,93931.564
FAARW-1,2020,71577.353
FAARW-2,2016,94595.295
FAARW-2,2017,104820.45
FAARW-2,2018,105059.1
FAARW-2,2019,90371.209
FAARW-2,2020,82201.845
FALGW-1,2016,301476.5
FALGW-1,2017,343949.053
FALGW-1,2018,324515.006
FALGW-1,2019,323602.907
FALGW-1,2020,333006.094
FASN-1,2016,60338.922
FASN-1,2017,70610.31
FASN-1,2018,67672.387
FASN-1,2019,95855.118
FASN-1,2020,107850.12
FASN-4,2016,64279.701
FASN-4,2017,41704.765
FASN-4,2018,61914.878
FASN-4,2019,64608.706
FASN-4,2020,63792.191
FASN2,2016,70583.88
FASN2,2017,63872.53
FASN2,2018,60833.522
FASN2,2019,78198.05
FASN2,2020,85808.687
FASN3,2016,49291.535
FASN3,2017,71229.015
FASN3,2018,41040.769
FASN3,2019,28781.941
FASN3,2020,55368.605
FAWN-1,2016,724544.619
FAWN-1,2017,996464.952
FAWN-1,2018,941954.05
FAWN-1,2019,865416.017
FAWN-1,2020,974412.886
FDUNT-1,2016,19641.655
FDUNT-1,2017,17489.06
FDUNT-1,2018,10130.94
FDUNT-1,2019,4418.4
FDUNT-1,2020,18233.798
FELL-1,2016,259154.898
FELL-1,2017,190140.867
FELL-1,2018,130094.454
FELL-1,2019,85077.868
FELL-1,2020,28951.008
FERR-1,2016,0.04
FERR-1,2017,0.0
FERR-1,2018,0.0
FERR-1,2019,0.0
FERR-1,2020,0.0
FERR-2,2016,0.028
FERR-2,2017,0.0
FERR-2,2018,0.0
FERR-2,2019,0.0
FERR-2,2020,0.0
FERR-3,2016,798832.27
FERR-3,2017,0.0
FERR-3,2018,0.0
FERR-3,2019,0.0
FERR-3,2020,0.0
