account_id,year,tonnes_co2
100060,2009,3833
100060,2010,5106
100060,2011,3221
100060,2012,3638
100060,2013,3120
100060,2014,1820
100060,2015,641
100060,2016,773
100060,2017,448
100060,2018,798
100060,2019,1072
100060,2020,486
100061,2005,43417
100061,2006,42845
100061,2007,44042
100061,2008,46256
100061,2009,24586
100062,2005,13522
100062,2006,10391
100062,2007,12558
100062,2008,12547
100062,2009,10203
100062,2010,10289
100062,2011,11237
100062,2012,13215
100062,2013,12714
100062,2014,12554
100062,2015,13080
100062,2016,3779
100063,2005,4615
100063,2006,10401
100063,2007,9586
100063,2008,5725
100063,2009,1618
100063,2010,4422
100063,2011,1396
100063,2012,2083
100063,2013,2006
100063,2014,471
100063,2015,35
100063,2016,213
100063,2017,102
100063,2018,37
100063,2019,61
100063,2020,11
100064,2005,8707
100064,2006,8829
100064,2007,2974
100064,2008,819
100064,2009,457
100064,2010,716
100064,2011,419
100064,2012,395
100064,2013,541
100064,2014,353
100064,2015,218
100064,2016,377
100064,2017,396
100064,2018,110
100064,2019,50
100064,2020,24
100065,2005,11853
100065,2006,12847
100065,2007,15488
100065,2008,11506
100065,2009,12019
100065,2010,10750
100065,2011,11638
100065,2012,12529
100065,2013,1263
100065,2014,1272
100065,2015,1482
100065,2016,1498
100065,2017,690
100065,2018,258
100065,2019,819
100065,2020,45
100066,2005,356
100066,2006,487
100066,2007,457
100066,2008,382
100066,2009,795
100066,2010,894
100066,2011,833
100066,2012,535
100066,2013,747
100066,2014,445
100066,2015,6
100066,2016,309
100066,2017,61
100066,2018,266
100066,2019,291
100066,2020,842
100067,2005,247103
100067,2006,276647
100067,2007,312459
100067,2008,260438
100067,2009,156027
100067,2010,164285
100067,2011,161380
100067,2012,175065
100067,2013,158742
100067,2014,168418
100067,2015,159342
100067,2016,153870
100067,2017,132629
100067,2018,133024
100067,2019,126998
100067,2020,62583
100068,2005,37379
100068,2006,44860
100068,2007,51272
100068,2008,35655
100068,2009,47687
100068,2010,61429
100068,2011,53277
100068,2012,37652
100068,2013,38012
100068,2014,36296
100068,2015,29256
100068,2016,18691
100068,2017,13095
100068,2018,10444
100068,2019,10355
100068,2020,10914
100069,2005,19192
100069,2006,12964
100069,2007,7825
100069,2008,8259
100071,2010,1
100071,2012,1
100072,2005,3
100072,2008,1
100072,2012,4
100072,2013,5
100073,2005,25927
100073,2006,26132
100073,2007,22693
100073,2008,22331
100073,2009,27965
100073,2010,25474
100073,2011,22586
100073,2012,17877
100073,2013,282
100073,2014,416
100073,2015,12
100073,2016,18
100073,2017,13
100073,2018,1102
100073,2019,241
100073,2020,1
100074,2005,89
100074,2006,580
100074,2007,741
100074,2008,34
100074,2009,285
100074,2010,107
100074,2011,646
100074,2012,206
100074,2014,7
100074,2016,616
100074,2017,104
100074,2018,195
100074,2019,82
100075,2005,3493
100075,2006,3030
100075,2007,2130
100075,2008,620
100075,2009,3246
100075,2010,8171
100075,2011,4288
100075,2012,10649
100075,2013,6414
100075,2014,3844
100075,2015,1234
100075,2016,8147
100075,2017,1943
100075,2018,6843
100075,2019,1663
100075,2020,196
100077,2005,1305
100077,2006,2263
100077,2007,4032
100077,2008,1049
100077,2009,714
100077,2010,775
100077,2011,795
100077,2012,1087
100077,2013,181
100077,2014,247
100077,2015,801
100077,2016,330
100077,2017,142
100077,2018,289
100077,2019,86
100077,2020,39
100078,2005,1109
100078,2006,1397
100078,2007,1719
100078,2008,1943
100078,2009,1889
100078,2010,2814
100078,2011,1285
100078,2012,2252
100078,2013,610
100078,2014,1984
100078,2015,1233
100078,2016,2017
100078,2017,3304
100078,2018,1174
100078,2019,1178
100078,2020,782
100079,2006,1549
100079,2007,698
100079,2008,863
100079,2009,573
100079,2010,425
100079,2011,357
100079,2012,310
100079,2013,206
100079,2014,386
100080,2005,297725
100080,2006,1393806
100080,2007,1015660
100080,2008,541476
100080,2009,917385
100080,2010,1238974
100080,2011,535820
100080,2012,297225
100080,2013,814561
100080,2014,461310
100080,2015,115503
100080,2016,4502
100080,2017,2717
100080,2018,1731
100080,2019,1924
100080,2020,466
100081,2005,162221
100081,2006,1193842
100081,2007,978269
100081,2008,472412
100081,2009,592267
100081,2010,1233427
100081,2011,388412
100081,2012,296002
100081,2013,673607
100081,2014,326552
100081,2015,115090
100081,2016,2914
100081,2017,2420
100082,2005,1058
100082,2006,1843
100082,2007,1329
100082,2008,1218
100082,2009,1100
100082,2010,1236
100082,2011,845
100082,2012,283
100082,2013,260
100082,2014,242
100082,2015,187
100082,2016,359
100083,2005,26
100083,2006,74
100083,2007,84
100083,2008,20
100083,2009,78
100083,2010,134
100083,2011,192
100083,2012,685
100083,2013,779
100083,2014,2
100083,2015,7
100083,2016,15
100083,2017,66
100083,2019,2
100083,2020,6
100084,2005,382
100084,2006,995
100084,2007,1178
100084,2008,603
100084,2009,2802
100084,2010,4347
100084,2011,3810
100084,2012,4016
100084,2013,1600
100084,2014,1015
100084,2015,854
100084,2016,2329
100084,2017,1374
100084,2018,620
100084,2019,238
100084,2020,65
100085,2008,24
100085,2011,4
100085,2012,45
100086,2005,13
100086,2006,12
100086,2007,17
100086,2008,12
100086,2009,11
100086,2011,18
100086,2012,28
100086,2013,3
100086,2014,6
100086,2015,20
100086,2016,1
100086,2017,9
100086,2018,9
100087,2005,486
100087,2006,496
100087,2007,767
100087,2008,151
100087,2009,550
100087,2010,68
100087,2012,553
100087,2013,21
100087,2014,17
100087,2015,104
100087,2016,33
100087,2017,497
100087,2018,411
100087,2019,40
100087,2020,285
100088,2008,8
100088,2009,40
100088,2010,67
100088,2011,1
100088,2013,16
100088,2016,20
100088,2017,93
100088,2018,201
100088,2019,12
100088,2020,11
100089,2017,8
