osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw
10040,KILNS,GBR1000500,Killingholme 1,T_KILNS-1,-0.25511,53.65951999999999,gas,600.0
10041,KILLPG,,Killingholme 2,"T_KILLPG-1, T_KILLPG-2",-0.25511,53.65951999999999,gas,
10042,KLYNA,,Kings Lynn,E_KLYN-A-1,0.380117,52.727256000000004,gas,
10043,LAGA,GBR1000073,Langage,T_LAGA-1,-3.966064,50.492463,gas,905.0
10044,LBAR,GBR1000371,Little Barford,T_LBAR-1,-0.230713,52.221070000000005,gas,720.0
10045,MRWD,GBR1000311,Marchwood,T_MRWD-1,-1.351318,50.903033,gas,842.0
10046,MEDP,GBR1000437,Medway,T_MEDP-1,0.889893,51.378638,gas,700.0
10047,PEMB,GBR1000372,Pembroke Power Station -,"T_PEMB-11, T_PEMB-21, T_PEMB-31, T_PEMB-41, T_PEMB-51",-4.996378,51.684368,gas,2180.0
10048,PETEM,GBR2000128,Peterborough,E_PETEM1,-0.204697,52.57694,gas,240.0
10049,ROCK,GBR1000212,Rocksavage,T_ROCK-1,-2.5927729999999998,53.330873,gas,810.0
10050,ROOS,,Roosecote,E_ROOS-1,-3.153076,54.156001,gas,
10051,RYHPS,GBR1000466,Rye House,T_RYHPS-1,-0.285645,51.815407,gas,715.0
10052,SCCL,GBR2000263,Saltend South,"T_SCCL-1, T_SCCL-2, T_SCCL-3",-0.13183599999999998,53.83308100000001,gas,1200.0
10053,SEAB,GBR1000480,Seabank,"T_SEAB-1, T_SEAB-2",-2.614746,51.481383,gas,410.0
10054,SVRP,GBR1000313,Severn Power,"T_SVRP-10, T_SVRP-20",-3.065186,51.740636,gas,850.0
10055,SHOS,GBR2000769,Shoreham,E_SHOS-1,-0.252686,50.882243,gas,420.0
10056,SHBA,GBR1000074,South Humber Bank,"T_SHBA-1, T_SHBA-2",-0.13183599999999998,53.618579000000004,gas,1310.0
10057,SPLN,GBR0006165,Spalding,T_SPLN-1,-0.252686,52.81604300000001,gas,880.0
10058,STAY,GBR1000373,Staythorpe,"T_STAY-1, T_STAY-2, T_STAY-3, T_STAY-4",-0.98877,53.041213,gas,1772.0
10059,SUTB,GBR2000518,Sutton Bridge,T_SUTB-1,0.09887699999999999,52.623059999999995,gas,819.0
10060,TESI,GBR0002514,Teesside,"T_TESI-1, T_TESI-2",-1.1302159999999999,54.573479000000006,gas,62.0
10061,MPGEN001,GBR1000115,Thornhill CCGT,2__MPGEN001,-1.655244,53.677085999999996,gas,50.0
10062,WBURB,GBR1000141,West Burton B,"T_WBURB-1, T_WBURB-2, T_WBURB-3",-0.53833,53.363665000000005,gas,1332.0
10063,WINN,,nan,E_WINN-1,-2.534686,53.266177,gas,
10064,DERW,,Derwent,E_DERW-1,-1.3994440000000001,52.905812,gas,
10065,FAWN,,Fawley Cogen,E_FAWN-1,-1.3514329999999999,50.830366999999995,gas,
10066,FELL,GBR1000317,Fellside,E_FELL-1,-1.3514329999999999,50.830366999999995,gas,180.0
10067,GRAI,GBR1000495,Grain CHP,"T_GRAI-6, T_GRAI-7, T_GRAI-8, T_GRAI-1, T_GRAI-2, T_GRAI-3, T_GRAI-4",0.703125,51.474540000000005,"gas, oil",1404.0
10068,GRMO,,Grangemouth CHP Ltd,T_GRMO-1,-3.0322270000000002,55.930741000000005,gas,
10069,HYTHE,,Hythe CHP,E_HYTHE,,,gas,
10070,HUMR,GBR1000517,Immingham CHP,T_HUMR-1,0.0,53.690201,gas,1240.0
10071,DPGEN001,GBR1000114,Sandbach CHP,2__DPGEN001,-2.405816,53.165426000000004,gas,56.0
10072,SHOT,,Shotton CHP,E_SHOT-1,-3.03265,53.23375,gas,
10073,SLOUG,,Slough,E_SLOUG,-0.626267,51.523953000000006,gas,
10074,DPGEN002,,Stoke CHP,2__DPGEN002,-2.1903330000000003,52.990359,gas,
10075,DICI1,,Weaver Power Station,T__DICI002,-2.7254099999999997,53.31544,gas,
10076,DICI2,,Weston Point Power Station,T__DICI001,-2.7254099999999997,53.31544,gas,
10077,ALDMG,,Aldershot Military Generator,E_ALDMG-1,0.7598,51.2599,oil,
10078,ABERDARE,,Aberdare District Energy,E_ABERDARE,-3.4492599999999998,51.711177,gas,
10079,BENIG,,Bentinck,E_BENIG-1,-1.270137,53.090486,gas,
10080,BRIDGWTR,,Bridgewater District Energy,E_BRIDGWTR,-3.005964,51.127515,gas,
10081,CAYTG,,Caythorpe,E_CAYTG-1,-0.203475,54.086555000000004,gas,
10082,FAWLG,,Fawley,"T_FAWL2G, T_FAWL1G, T_FAWL3G, T_FAWL4G",1.328881,50.816696,"gas, oil",
10083,FDUN,,Fort Dunlop,E_FDUN-1,-1.3514329999999999,50.830366999999995,gas,
10084,LBARG,,Little Barford OCGT,T_LBAR-1G,-0.2689,52.2045,gas,
10085,PEHEG,GBR2000723,Peterhead GT,"T_PEHE-3G, T_PEHE-4G",-1.788879,57.477213,gas,1180.0
10086,PYEBG,,Pye Bridge,E_PYEBG-1,-1.349033,53.07139300000001,gas,
10087,REDGT,,Redditch,E_REDGT-1,-1.932818,52.300184,gas,
10088,SEVINGTN,,Sevington District Energy,E_SEVINGTN,0.907475,51.128007000000004,gas,
10089,SOLUTIA,,Solutia District Energy,E_SOLUTIA,-2.9983234,51.5877364,gas,
10090,ABTHG,GBR1000375,Aberthaw B AGT,"T_ABTH7G, T_ABTH8G, T_ABTH9G",-3.404866,51.387312,oil,51.0
10091,COWE,GBR1000376,Cowes,"E_COWE1, E_COWE2",-1.2864,50.7459,oil,140.0
10092,DIDCG,GBR1000377,Didcot A AGT,"T_DIDC1G, T_DIDC2G, T_DIDC3G, T_DIDC4G, E_DIDC1G, E_DIDC2G, E_DIDC3G, E_DIDC4G",-1.26757,51.62363,oil,100.0
