sett_bmu_id,ngc_bmu_id,bmu_root,name,primary_fuel_type,detailed_fuel_type,longitude,latitude
T_SEAB-2,SEAB-2,SEAB,Seabank 2,gas,ccgt,-2.614746,51.481383
T_SVRP-10,SVRP-10,SVRP,Severn Power Unit 10,gas,ccgt,-3.065186,51.740636
T_SVRP-20,SVRP-20,SVRP,Severn Power Unit 20,gas,ccgt,-3.065186,51.740636
E_SHOS-1,SHOS-1,SHOS,Shoreham,gas,ccgt,-0.252686,50.882243
T_SHBA-1,SHBA-1,SHBA,South Humber Bank 1,gas,ccgt,-0.13183599999999998,53.618579
T_SHBA-2,SHBA-2,SHBA,South Humber Bank 2,gas,ccgt,-0.13183599999999998,53.618579
T_SPLN-1,SPLN-1,SPLN,Spalding,gas,ccgt,-0.252686,52.81604300000001
T_STAY-1,STAY-1,STAY,Staythorpe Unit 1,gas,ccgt,-0.98877,53.041213
T_STAY-2,STAY-2,STAY,Staythorpe Unit 2,gas,ccgt,-0.98877,53.041213
T_STAY-3,STAY-3,STAY,Staythorpe Unit 3,gas,ccgt,-0.98877,53.041213
T_STAY-4,STAY-4,STAY,Staythorpe Unit 4,gas,ccgt,-0.98877,53.041213
T_SUTB-1,SUTB-1,SUTB,Sutton Bridge,gas,ccgt,0.098877,52.62306
T_TESI-1,TESI-1,TESI,Teesside,gas,ccgt,-1.130216,54.573479000000006
T_TESI-2,TESI-2,TESI,Teesside,gas,ccgt,-1.130216,54.573479000000006
2__MPGEN001,YEP-PGU03,YEP-PGU03,Thornhill CCGT,gas,ccgt,-1.655244,53.677086
T_WBURB-1,WBURB-1,WBURB,West Burton B Unit 1,gas,ccgt,-0.53833,53.36366500000001
T_WBURB-2,WBURB-2,WBURB,West Burton B Unit 2,gas,ccgt,-0.53833,53.36366500000001
T_WBURB-3,WBURB-3,WBURB,West Burton B Unit 3,gas,ccgt,-0.53833,53.36366500000001
E_WINN-1,,WINN,Unknown,gas,ccgt,-2.534686,53.266177
E_DERW-1,DERW-1,DERW,Derwent,gas,chp,-1.399444,52.905812
E_FAWN-1,FAWN-1,FAWN,Fawley Cogen,gas,chp,-1.351433,50.830367
E_FELL-1,FELL-1,FELL,Fellside,gas,chp,-1.351433,50.830367
T_GRAI-6,GRAI-6,GRAI,Grain CHP,gas,chp,0.703125,51.47454000000001
T_GRAI-7,GRAI-7,GRAI,Grain CHP,gas,chp,0.703125,51.47454000000001
T_GRAI-8,GRAI-8,GRAI,Grain CHP,gas,chp,0.703125,51.47454000000001
T_GRMO-1,GRMO-1,GRMO,Grangemouth CHP Ltd,gas,chp,-3.032227,55.93074100000001
E_HYTHE,,HYTHE,Hythe CHP,gas,chp,,
T_HUMR-1,HUMR-1,HUMR,Immingham CHP,gas,chp,0.0,53.690201
2__DPGEN001,MNW-PGU02,MNW-PGU02,Sandbach CHP,gas,chp,-2.405816,53.165426
E_SHOT-1,SHOT-1,SHOT,Shotton CHP,gas,chp,-3.03265,53.23375
E_SLOUG,,SLOUG,Slough,gas,chp,-0.626267,51.52395300000001
