eu_planet_id,capacity,lat,long,ecd_unit_id,gcpt_id,gcpt_unit_name,platts_id,ecd_plant_id,eutl_id,eu_planet_plant_name,ecd_unit_name,ecd_fuel_type,ecd_nameplate_capacityw,entsoe_country,entsoe_unit_name,entsoe_fuel_type
35,350,53.202125,8.5161,DE-35-1,G101048,Bremen-Farge power station Unit 1,1114695,DE-35,DE 999,Bremen-Farge power station,Bremen-Farge,hard coal,380.434782608696,DE,DEFARGE____1_____,Fossil Hard coal
36,75,45.516389,10.212222,IT-1-1,G101049,Brescia 3,1107095,IT-1,IT 159,Brescia power station,NA,NA,NA,NA,NA,NA
37,250,42.154555,25.906814,NA,G101055,Brikel 5,,NA,NA,Brikel power station,NA,NA,NA,NA,NA,NA
38,640,40.644119,17.980801,NA,G101057,Brindisi Nord power station Unit 1,1107163,NA,NA,Brindisi Nord power station,NA,NA,NA,NA,NA,NA
39,2640,40.563636,18.032206,IT-2-1,G101061,Brindisi Sud power station Unit 1,1107167,IT-2,IT 521,Brindisi Sud power station,Brindisi Sud 1,hard coal,660,IT,UP_BRNDSSUDCE_1,Fossil Hard coal
4,1595,40.394185,21.924886,EL-1-1,G100077,Agios Dimitrios power station Unit 1,1100574,EL-1,GR 15,Agios Dimitrios power station,Agios Dimitrios 1,lignite,300,GR,AG_DIMITRIOS1,Fossil Brown coal/Lignite
40,72,49.21585934,16.60640497,NA,G101065,Brno 1,1107181,NA,NA,Brno power station,NA,NA,NA,NA,NA,NA
41,80,47.4925,19.051389,NA,G101085,Budapest Thermo Color,1107466,NA,NA,Budapest Thermo Color power station,NA,NA,NA,NA,NA,NA
42,70,51.602778,7.009444,DE-100-6,G101091,Buer 1,1107491,DE-100,DE 1205,Buer power station,NA,NA,NA,NA,NA,NA
43,390,52.171764,10.977192,DE-126-1,G101134,Buschhaus power station Unit A,1107799,DE-126,DE 1419,Buschhaus power station,Helmstedt Buschhaus D,lignite,405,DE,Buschhaus,Fossil Brown coal/Lignite
44,169,53.099586,18.087507,NA,G101145,Bydgoszcz-2 power station Unit 4,1107853,NA,NA,Bydgoszcz power station,NA,NA,NA,NA,NA,NA
45,50,49.84425687,18.49604454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,142,51.684575,7.099977,NA,G101376,Chemiepark Marl I 5,,NA,NA,Chemiepark Marl power station,NA,NA,NA,NA,NA,NA
47,167,50.857778,12.923889,DE-43-1,G101378,Chemnitz Nord-2 power station Unit 2,1109477,DE-43,DE 1098,Chemnitz Nord power station,NA,NA,NA,NA,NA,NA
48,203,51.022231,6.986313,DE-155-2,G101380,Chempark Leverkusen power station Unit 1,1126505,DE-155,DE 824,Chempark Leverkusen power station,NA,NA,NA,NA,NA,NA
49,220,50.307464,18.969459,PL-23-1,G101557,Chorzow Elcho power station Unit 1,1170647,PL-23,PL 24,Chorzow Elcho power station,Chorzow 2 B1,hard coal,113,PL,Chorzów B1,Fossil Hard coal
5,31,47.589167,8.129167,NA,G100112,Albbruck Mill New 1,1227298,NA,NA,Albbruck Mill power station,NA,NA,NA,NA,NA,NA
50,820,50.028062,15.450504,CZ-6-1,G101573,Chvaletice power station Unit 1,1110147,CZ-6,CZ 120,Chvaletice power station,Chvaletice 1,lignite,205,CZ,ECHV_G1____,Fossil Brown coal/Lignite
51,240,42.1,11.8,NA,G101594,Civitavecchia power station Unit 3,1110268,NA,NA,Civitavecchia power station,NA,NA,NA,NA,NA,NA
52,45,43.34901,-4.04713,NA,G101643,Cogecan 1,1172988,NA,NA,Cogecan power station,NA,NA,NA,NA,NA,NA
53,1050,42.612178,-6.564551,NA,G101682,Compostilla power station Unit 1,1110557,NA,NA,Compostilla power station,NA,NA,NA,NA,NA,NA
54,1200,47.276707,-1.881559,FR-22-2,G101703,Cordemais power station Unit 4,1110697,FR-22,FR 560,Cordemais power station,Cordemais 4,hard coal,630.434782608696,FR,CORDEMAIS 4,Fossil Hard coal
55,2000,53.304757,-0.781646,UK-15-1,G101712,Cottam power station Unit 1,1110823,UK-15,GB 202,Cottam power station,Cottam 1,hard coal,545.652173913043,GB,COTPS-1,Fossil Hard coal
56,81,51.7627404,14.3453979,DE-48-1,G101716,Cottbus Chp S1,1110835,DE-48,DE 1524,Cottbus CHP power station,NA,NA,NA,NA,NA,NA
57,150,44.345194,23.814897,RO-5-1,G101821,Craiova-2 power station Unit 1,1110895,RO-5,RO 3,Craiova II power station,Craiova II 1,lignite,150,RO,CetCraiova2_CRAI1_CA,Fossil Brown coal/Lignite
58,64,50.8,19.116667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,51,51.82763802,12.23055111,DE-51-1,G102323,Dessau,1169600,DE-51,DE 1588,Dessau power station,NA,NA,NA,NA,NA,NA
6,510,39.810751,3.091411,ES-3-1,G100121,Alcúdia-2 power station Unit 1,1101404,ES-3,ES 680,Alcúdia power station,NA,NA,NA,NA,NA,NA
60,800,49.907184,18.464559,CZ-7-1,G102324,Detmarovice power station Unit 1,1111933,CZ-7,CZ 118,Detmarovice power station,Detmarovice 1,hard coal,200,CZ,EDET_G1____,Fossil Hard coal
61,50,51.116667,12.066667,NA,G102328,Deuben 2,1186054,NA,NA,Deuben power station,NA,NA,NA,NA,NA,NA
62,53,43.1963539,27.6326752,BG-2-2,G102333,Deven Power Station Unit 2,,BG-2,BG 6,Deven,NA,NA,NA,NA,NA,NA
